1.0	husband	wife_v
1.0	father	husband	mother
1.0	mother	wife	father
1.0	father	husband	son_v
1.0	mother	wife	son_v
1.0	father	husband	daughter_v
1.0	mother	wife	daughter_v
1.0	aunt	wife	uncle
1.0	uncle	husband	aunt
1.0	aunt	wife	niece_v
1.0	uncle	husband	niece_v
1.0	aunt	sister	mother
1.0	aunt	sister	father
1.0	uncle	brother	mother
1.0	son	son	wife
1.0	son	son	husband
1.0	daughter	daughter	wife
1.0	daughter	daughter	husband
1.0	son	brother	son
1.0	son	brother	daughter
1.0	daughter	sister	son
1.0	daughter	sister	daughter
1.0	niece	daughter	sister
1.0	niece	daughter	brother
1.0	sister	sister	sister
1.0	sister	sister	sister_v
1.0	sister	sister	brother
1.0	sister	sister	brother_v
1.0	brother	brother	brother_v
1.0	brother	brother	sister
1.0	brother	brother	sister_v
1.0	sister	daughter	father
1.0	brother	son	father
1.0	mother	wife	father_v
1.0	wife	son	uncle_v
1.0	daughter	daughter	niece_v
1.0	uncle	niece	brother
1.0	father	sister	uncle
1.0	son	daughter	sister_v
1.0	niece	brother	daughter
1.0	father	husband	son
